Code;Libellé;Nb d'emplois au lieu de travail (LT) 2021;Part des emplois sal. dans le nb d’emplois au LT 2021;Population municipale 2022
92004;Asnières-sur-Seine;22932;84.6;91457
92007;Bagneux;12184;89.4;43647
92009;Bois-Colombes;12812;89.6;29376
92012;Boulogne-Billancourt;89534;87.6;120205
92014;Bourg-la-Reine;5154;82.8;21140
92019;Châtenay-Malabry;7679;86.2;35490
92020;Châtillon;15676;91.4;36224
92022;Chaville;3578;79.6;20198
92023;Clamart;18661;87.8;56882
92024;Clichy;36398;91;65102
92025;Colombes;31371;89.5;90692
92026;Courbevoie;102426;93.9;81945
92032;Fontenay-aux-Roses;6952;89.2;24586
92035;La Garenne-Colombes;10227;86.5;29828
92036;Gennevilliers;41954;95;50874
92040;Issy-les-Moulineaux;59601;92.8;67695
92044;Levallois-Perret;61762;91.3;68412
92046;Malakoff;15353;89.6;30183
92048;Meudon;17804;87.5;46722
92049;Montrouge;30303;91.1;46273
92050;Nanterre;89728;94.1;98119
92051;Neuilly-sur-Seine;48626;87.4;59200
92060;Le Plessis-Robinson;15073;93.1;28893
92062;Puteaux;82762;94.7;44198
92063;Rueil-Malmaison;41597;90.7;80842
92064;Saint-Cloud;16736;89;29859
92071;Sceaux;5735;83.5;20740
92072;Sèvres;9574;87.9;22782
92073;Suresnes;26973;90.5;48932
92075;Vanves;7733;84.4;28507
92078;Villeneuve-la-Garenne;9561;92.7;25566
93001;Aubervilliers;34729;89.1;89489
93005;Aulnay-sous-Bois;27907;90.4;86360
93006;Bagnolet;13392;86;41776
93007;Le Blanc-Mesnil;11763;88.3;59912
93008;Bobigny;30196;94.2;55270
93010;Bondy;11969;88.4;51066
93014;Clichy-sous-Bois;5360;90.1;29551
93027;La Courneuve;13180;90.1;47086
93029;Drancy;13429;86.5;71312
93031;Épinay-sur-Seine;9559;88.7;53564
93032;Gagny;5475;82.4;40790
93045;Les Lilas;5092;81.9;23262
93046;Livry-Gargan;8524;84.6;46507
93047;Montfermeil;6567;86.3;28257
93048;Montreuil;57191;88.5;110758
93049;Neuilly-Plaisance;6056;85.7;21914
93050;Neuilly-sur-Marne;9539;89.5;38799
93051;Noisy-le-Grand;28161;90.7;71632
93053;Noisy-le-Sec;10588;88.8;45915
93055;Pantin;30275;90.5;60954
93057;Les Pavillons-sous-Bois;5578;85.8;24872
93059;Pierrefitte-sur-Seine;5508;88.1;33670
93063;Romainville;7993;87.1;35314
93064;Rosny-sous-Bois;15751;91.2;45947
93066;Saint-Denis;89749;93.7;115237
93070;Saint-Ouen-sur-Seine;37101;90.9;53041
93071;Sevran;8754;88.1;51640
93072;Stains;9238;90.2;40600
93073;Tremblay-en-France;26748;94.6;38210
93077;Villemomble;5272;83.4;29973
93078;Villepinte;16309;93.8;39647
94002;Alfortville;11719;85.2;45569
94003;Arcueil;16992;94.2;21868
94016;Cachan;7571;89.7;30526
94017;Champigny-sur-Marne;18188;86.2;78367
94018;Charenton-le-Pont;14330;89;28756
94022;Choisy-le-Roi;10868;87.1;46122
94028;Créteil;56103;93.6;92859
94033;Fontenay-sous-Bois;30281;91.3;52646
94034;Fresnes;7790;90.8;29298
94038;L'Haÿ-les-Roses;5205;80.3;31338
94041;Ivry-sur-Seine;32716;90.5;64526
94042;Joinville-le-Pont;4962;84;20784
94043;Le Kremlin-Bicêtre;13721;92.3;23678
94044;Limeil-Brévannes;6305;89.2;27806
94046;Maisons-Alfort;16729;88.1;57422
94052;Nogent-sur-Marne;8729;82;32998
94054;Orly;22992;94.8;24488
94058;Le Perreux-sur-Marne;5475;76;34654
94059;Le Plessis-Trévise;2897;78.5;21096
94067;Saint-Mandé;8394;85.6;21223
94068;Saint-Maur-des-Fossés;20273;79.4;76010
94071;Sucy-en-Brie;7412;86.2;27593
94073;Thiais;10780;90.4;32006
94076;Villejuif;23289;91.5;58142
94077;Villeneuve-le-Roi;5958;88.3;20871
94078;Villeneuve-Saint-Georges;10612;91.8;36170
94079;Villiers-sur-Marne;5900;88;32547
94080;Vincennes;17642;83.5;48368
94081;Vitry-sur-Seine;27753;90.1;95282
95018;Argenteuil;29473;89.8;107135
95063;Bezons;12889;91.7;34314
95127;Cergy;33587;92.8;69578
95176;Cormeilles-en-Parisis;5285;84;27086
95197;Deuil-la-Barre;3544;81.8;22903
95203;Eaubonne;7609;87.4;25934
95219;Ermont;6912;87.1;29189
95252;Franconville;6736;85.7;38024
95268;Garges-lès-Gonesse;8195;89.3;42388
95277;Gonesse;15456;93.8;26959
95280;Goussainville;8374;91.1;30952
95306;Herblay-sur-Seine;8174;86;31818
95424;Montigny-lès-Cormeilles;3799;85.8;22390
95428;Montmorency;4282;80.8;21677
95500;Pontoise;14702;89.6;31623
95555;Saint-Gratien;3762;82.4;21297
95572;Saint-Ouen-l'Aumône;19951;92.8;25614
95582;Sannois;5010;83.7;26772
95585;Sarcelles;14798;89.1;58576
95607;Taverny;7434;88.8;27065
95680;Villiers-le-Bel;5112;89.7;29238
97101;Les Abymes;23198;86.2;51760
97103;Baie-Mahault;27349;85.1;30943
97113;Le Gosier;6408;73.8;27205
97117;Le Moule;5365;72.7;22924
97118;Petit-Bourg;5127;73.9;24299
97128;Sainte-Anne;4485;69.9;24415
97209;Fort-de-France;42772;86.6;75165
97213;Le Lamentin;26319;88.3;39346
97222;Le Robert;4524;79.6;21490
97302;Cayenne;30013;88.2;63956
97304;Kourou;8687;89.5;24470
97307;Matoury;8193;85.4;35551
97309;Remire-Montjoly;6905;84.4;27037
97311;Saint-Laurent-du-Maroni;9711;77.3;51732
97407;Le Port;20913;90.8;33670
97408;La Possession;7662;81.8;36390
97409;Saint-André;12828;82.5;57546
97410;Saint-Benoît;10383;85.8;37585
97411;Saint-Denis;65874;88.7;156149
97412;Saint-Joseph;8264;77.5;38992
97413;Saint-Leu;8620;77.4;35597
97414;Saint-Louis;12602;84.1;54478
97415;Saint-Paul;32144;82.4;106220
97416;Saint-Pierre;39642;85.6;85254
97418;Sainte-Marie;13191;89.6;35584
97420;Sainte-Suzanne;5098;84;24855
97422;Le Tampon;18257;76.5;81964
